word, synset, definition
ninja, ninja.n.01, a member of the ninja who were trained in martial arts and hired for espionage or sabotage or assassinations; a person skilled in ninjutsu
queen, king.n.02, a competitor who holds a preeminent position
joel, joel.n.01, a Hebrew minor prophet
ultrasound, sonography.n.01, using the reflections of high-frequency sound waves to construct an image of a body organ (a sonogram); commonly used to observe fetal growth or study bodily organs
mr, mister.n.01, a form of address for a man
globalisation, globalization.n.01, growth to a global or worldwide scale
awe, fear.n.03, a feeling of profound respect for someone or something
bitch, gripe.n.01, informal terms for objecting
mast, mast.n.01, a vertical spar for supporting sails
vietnam, vietnam.n.01, a communist state in Indochina on the South China Sea; achieved independence from France in 1945
nrc, nuclear_regulatory_commission.n.01, an independent federal agency created in 1974 to license and regulate nuclear power plants
sidebar, sidebar.n.01, (law) a courtroom conference between the lawyers and the judge that is held out of the jury's hearing
satan, satan.n.01, (Judeo-Christian and Islamic religions) chief spirit of evil and adversary of God; tempter of mankind; master of Hell
discipline, discipline.n.01, a branch of knowledge
rivera, rivera.n.01, socialist Mexican painter of murals (1886-1957)
arnold, arnold.n.01, English poet and literary critic (1822-1888)
autograph, autograph.n.01, something written by one's own hand
domain, world.n.02, people in general; especially a distinctive group of people with some shared interest
pinch, apprehension.n.04, the act of apprehending (especially apprehending a criminal)
rebate, rebate.n.01, a refund of some fraction of the amount paid
scrub, scrub.n.01, dense vegetation consisting of stunted trees or bushes
lick, punch.n.01, (boxing) a blow with the fist
voyager, voyager.n.01, a traveler to a distant land (especially one who travels by sea)
hustle, bunco.n.01, a swindle in which you cheat at gambling or persuade a person to buy worthless property
algorithm, algorithm.n.01, a precise rule (or set of rules) specifying how to solve some problem
map, function.n.01, (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
feature, feature.n.01, a prominent attribute or aspect of something
beige, beige.n.01, a very light brown
dirk, dirk.n.01, a relatively long dagger with a straight blade
evacuation, elimination.n.02, the bodily process of discharging waste matter
addition, addition.n.03, a quantity that is added
huntington, huntington.n.01, United States physician who first described Huntington's chorea
constituent, part.n.01, something determined in relation to something that includes it
sweetheart, smasher.n.02, a very attractive or seductive looking woman
union, union.n.02, the United States (especially the northern states during the American Civil War)
triumph, victory.n.01, a successful ending of a struggle or contest
eve, evening.n.01, the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
steal, bargain.n.02, an advantageous purchase
wrath, wrath.n.02, belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)
leonard, leonard.n.01, United States writer of thrillers (born in 1925)
appropriation, annexation.n.01, incorporation by joining or uniting
giant, giant.n.05, someone or something that is abnormally large and powerful
howe, howe.n.01, United States editor (1920-1993)
ivory, bone.n.03, a shade of white the color of bleached bones
cad, cad.n.01, someone who is morally reprehensible
matte, flatness.n.04, the property of having little or no contrast; lacking highlights or gloss
menace, menace.n.01, something that is a source of danger
plaintiff, plaintiff.n.01, a person who brings an action in a court of law
round, turn.n.09, (sports) a division during which one team is on the offensive
personality, personality.n.01, the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
improvement, improvement.n.01, a change for the better; progress in development
syntax, syntax.n.01, the grammatical arrangement of words in sentences
monster, giant.n.05, someone or something that is abnormally large and powerful
edmonton, edmonton.n.01, the capital of the province of Alberta
interchange, interchange.n.02, mutual interaction; the activity of reciprocating or exchanging (especially information)
multiplication, multiplication.n.03, an arithmetic operation that is the inverse of division; the product of two numbers is computed
urbana, urbana.n.01, a university town in east central Illinois adjoining Champaign
star, star.n.04, an actor who plays a principal role
carlsbad, carlsbad.n.01, a town in southeastern New Mexico on the Pecos River near the Mexican border; potash deposits
emperor, emperor.n.01, the male ruler of an empire
respect, respect.n.03, an attitude of admiration or esteem
climate, climate.n.02, the prevailing psychological state
uptown, uptown.n.01, a residential part of town away from the central commercial district
baron, baron.n.03, a very wealthy or powerful businessman
autobiography, autobiography.n.01, a biography of yourself
columbium, columbium.n.01, a former name for niobium
sac, pouch.n.02, an enclosed space
hoover, hoover.n.01, United States industrialist who manufactured vacuum cleaners (1849-1932)
rum, rummy.n.02, a card game based on collecting sets and sequences; the winner is the first to meld all their cards
belmont, belmont_park.n.01, a racetrack for thoroughbred racing in Elmont on Long Island; site of the Belmont Stakes
parameter, argument.n.05, (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program
dark, night.n.01, the time after sunset and before sunrise while it is dark outside
carver, cutter.n.02, someone who carves the meat
hertz, hertz.n.01, the unit of frequency; one hertz has a periodic interval of one second
circumstance, context.n.02, the set of facts or circumstances that surround a situation or event
compassion, compassion.n.02, the humane quality of understanding the suffering of others and wanting to do something about it
frequency, frequency.n.01, the number of occurrences within a given time period
colleague, colleague.n.02, a person who is member of one's class or profession
